studytime,failures,absences,G1,G2,G3
2,0,10,14,5,9
2,0,7,8,15,12
1,0,3,10,16,12
1,0,1,10,5,7
3,0,0,15,19,17
1,0,2,6,16,11
1,0,9,6,9,7
2,0,9,8,14,11
4,0,4,5,11,10
1,0,3,13,6,9
2,1,33,18,14,14
2,0,5,18,12,14
1,0,5,17,8,11
2,1,6,11,16,12
2,0,1,16,7,11
2,0,15,11,14,12
2,0,2,19,15,16
2,0,9,7,12,10
1,0,2,19,6,11
3,0,14,15,15,15
2,0,5,19,15,16
1,0,3,16,17,15
1,0,2,7,7,7
2,0,1,5,16,11
2,0,19,7,7,7
1,0,2,7,14,10
2,0,5,8,15,12
1,2,6,8,5,4
2,0,3,7,10,9
1,0,7,14,6,9
2,0,9,16,5,10
2,0,6,12,6,9
3,0,1,12,16,14
1,1,8,17,10,11
2,2,5,17,18,14
1,0,9,5,8,6
3,2,14,11,10,8
3,0,26,15,16,16
1,0,2,6,13,9
2,0,9,5,17,12
3,3,6,7,14,8
2,0,9,8,16,12
2,0,13,17,14,15
1,0,7,10,12,10
1,0,10,14,5,9
3,0,1,18,17,17
3,0,8,9,12,11
2,0,3,19,13,15
2,0,5,19,10,14
2,0,25,18,14,15
2,0,9,8,19,14
3,0,24,12,9,11
3,0,9,15,10,12
2,1,12,16,17,15
2,0,12,18,10,13
1,0,17,8,13,10
1,0,3,17,8,11
3,0,5,14,6,10
2,0,2,16,15,15
1,0,8,17,15,15
1,0,9,6,13,9
2,0,0,19,6,12
1,0,3,7,14,10
1,0,5,10,13,11
2,0,4,12,6,9
2,0,6,12,16,14
2,0,2,19,12,15
1,0,5,15,13,13
2,0,16,19,16,17
1,0,11,13,14,13
2,0,3,11,13,12
2,0,11,17,14,15
2,0,12,6,13,10
3,1,19,12,6,8
2,2,4,11,8,7
2,0,10,12,11,11
1,0,8,16,16,15
2,1,8,7,6,6
1,0,31,11,5,7
1,0,2,14,7,10
4,0,8,17,16,17
2,0,4,13,8,10
3,0,7,7,12,10
2,0,13,18,10,13
2,0,6,14,15,14
2,0,11,10,6,8
2,0,1,6,19,13
2,0,16,6,13,10
1,0,7,9,18,13
2,0,3,9,6,8
1,1,4,17,17,15
1,0,7,11,19,14
2,0,5,16,16,15
1,0,8,6,9,7
3,0,9,15,16,16
4,0,4,18,8,13
3,0,1,17,17,17
2,0,17,11,11,11
1,0,2,9,12,10
3,0,3,18,9,13
2,0,2,10,14,12
4,0,3,12,18,16
4,0,26,14,18,17
3,0,6,17,9,13
1,1,5,18,6,10
2,0,15,16,12,13
3,0,2,8,18,14
2,0,17,17,6,11
1,0,9,11,14,12
2,0,0,10,16,13
3,0,3,14,10,12
2,0,0,6,12,9
2,0,9,19,10,14
1,0,2,12,8,9
2,0,2,14,17,15
4,0,18,13,8,11
1,0,3,9,10,9
2,0,4,14,18,16
3,0,7,8,19,14
2,0,7,10,17,14
2,3,5,12,8,6
2,0,5,15,12,13
2,0,29,19,13,15
1,0,0,7,5,6
3,0,14,14,17,16
3,0,13,15,8,12
3,0,14,15,8,12
3,0,5,5,6,6
2,0,3,8,10,9
2,0,21,19,7,12
2,1,5,8,11,8
2,0,0,5,17,12
2,0,12,13,15,14
2,0,2,7,15,11
3,3,1,9,9,6
2,0,6,10,8,9
2,0,10,12,9,10
1,3,4,10,12,7
2,1,9,7,7,6
1,1,7,10,18,12
2,0,7,5,11,8
2,0,11,8,19,14
1,0,6,10,18,14
2,2,25,11,10,8
1,0,6,15,16,14
1,0,32,17,5,10
3,0,43,15,17,16
2,0,13,14,11,12
1,0,5,7,18,12
2,0,3,13,17,15
2,0,6,16,11,13
1,0,3,16,18,16
2,0,2,11,19,15
1,0,4,18,16,16
1,0,7,5,5,5
2,0,10,6,13,10
2,0,6,5,10,8
2,0,2,15,19,16
2,0,3,13,16,14
4,0,3,13,6,10
2,0,6,11,9,10
2,0,3,14,17,15
2,0,9,7,15,11
1,0,4,17,8,11
2,3,6,19,11,11
1,0,5,9,12,10
1,1,11,19,15,14
4,0,12,8,18,14
3,0,13,11,19,15
2,0,4,18,15,16
2,0,5,13,5,9
1,0,9,16,9,11
1,0,4,6,19,12
1,0,9,17,7,11
2,2,0,12,5,6
2,1,2,19,16,15
2,3,4,13,7,6
1,0,4,14,18,15
4,0,11,18,10,14
2,2,5,14,18,13
2,0,3,13,11,12
2,0,14,18,12,14
2,0,35,14,17,15
1,0,6,18,15,15
2,1,7,11,8,8
2,0,23,19,7,12
1,0,10,13,9,10
1,0,5,13,13,12
1,0,13,18,17,16
1,0,6,7,10,8
3,1,10,8,19,13
2,0,22,6,13,10
2,0,13,14,19,16
1,0,8,7,10,8
2,1,4,15,6,9
2,0,20,15,17,16
1,1,2,9,9,7
2,0,4,9,16,13
2,0,0,10,15,12
2,0,14,17,13,14
2,0,10,11,12,11
1,0,6,11,11,10
2,0,3,5,5,6
2,0,1,18,8,12
2,1,12,6,16,10
3,0,21,16,11,13
2,0,9,13,15,14
1,2,9,14,11,9
1,0,25,6,19,12
2,0,8,10,10,10
1,2,13,15,12,10
2,0,15,15,15,14
3,0,14,5,17,12
2,0,10,7,10,9
2,0,5,6,14,10
2,0,3,7,7,7
2,0,7,9,8,9
2,1,3,15,18,15
2,0,9,14,7,11
2,0,2,10,5,8
4,0,17,13,19,17
3,0,7,16,14,15
1,0,4,15,9,11
1,0,3,19,19,18
1,0,9,19,5,11
1,0,1,14,5,9
1,1,24,16,6,9
2,0,17,16,17,16
1,1,8,17,8,10
2,0,2,8,10,9
3,1,11,11,12,11
1,0,4,10,17,13
3,0,7,6,7,7
1,0,9,14,5,9
1,0,13,15,7,10
2,0,4,15,16,15
2,0,16,15,7,10
3,0,3,19,9,14
2,0,8,19,15,16
3,0,16,12,16,14
1,0,13,11,16,13
1,0,11,19,8,12
2,0,11,19,17,17
3,0,1,11,8,10
4,2,1,18,13,13
2,0,9,19,11,14
2,0,11,12,8,10
2,0,3,16,7,11
2,2,0,16,10,10
